Ticker,Date,Time,LTP,LTQ
TCS.BSE,04-08-25,22:45:25,1411.5,2
TCS.BSE,04-08-25,22:45:25,3074.9,0
TCS.BSE,04-08-25,22:45:25,3074.9,0
TCS.BSE,04-08-25,22:45:25,3074.9,0
TCS.BSE,04-08-25,22:45:25,3074.9,0
TCS.BSE,04-08-25,22:45:25,3074.9,0
TCS.BSE,04-08-25,22:45:25,3074.9,0
TCS.BSE,04-08-25,22:45:25,3074.9,0
TCS.BSE,04-08-25,22:45:25,3074.9,0
TCS.BSE,04-08-25,22:45:25,3074.9,0
TCS.BSE,04-08-25,22:45:25,3074.9,0
TCS.BSE,04-08-25,22:45:25,3074.9,0
TCS.BSE,04-08-25,22:45:25,3074.9,0
TCS.BSE,04-08-25,22:45:25,3074.9,0
TCS.BSE,04-08-25,22:45:25,3074.9,0
TCS.BSE,04-08-25,22:45:26,3074.9,0
TCS.BSE,04-08-25,22:45:26,3074.9,0
TCS.BSE,04-08-25,22:45:26,3074.9,0
TCS.BSE,04-08-25,22:45:26,3074.9,0
TCS.BSE,04-08-25,22:45:26,3074.9,0
TCS.BSE,04-08-25,22:45:26,3074.9,0
TCS.BSE,04-08-25,22:45:26,3074.9,0
TCS.BSE,04-08-25,22:45:26,3074.9,0
TCS.BSE,04-08-25,22:45:26,3074.9,0
TCS.BSE,04-08-25,22:45:26,3074.9,0
TCS.BSE,04-08-25,22:45:26,3074.9,0
TCS.BSE,04-08-25,22:45:26,3074.9,0
TCS.BSE,04-08-25,22:45:26,3074.9,0
TCS.BSE,04-08-25,22:45:26,3074.9,0
TCS.BSE,04-08-25,22:45:26,3074.9,0
TCS.BSE,04-08-25,22:45:26,3074.9,0
TCS.BSE,04-08-25,22:45:26,3074.9,0
TCS.BSE,04-08-25,22:45:26,3074.9,0
TCS.BSE,04-08-25,22:45:27,3074.9,0
TCS.BSE,04-08-25,22:45:27,3074.9,0
TCS.BSE,04-08-25,22:45:27,3074.9,0
TCS.BSE,04-08-25,22:45:27,3074.9,0
TCS.BSE,04-08-25,22:45:27,3074.9,0
TCS.BSE,04-08-25,22:45:27,3074.9,0
TCS.BSE,04-08-25,22:45:27,3074.9,0
TCS.BSE,04-08-25,22:45:27,3074.9,0
TCS.BSE,04-08-25,22:45:27,3074.9,0
TCS.BSE,04-08-25,22:45:27,3074.9,0
TCS.BSE,04-08-25,22:45:27,3074.9,0
TCS.BSE,04-08-25,22:45:27,3074.9,0
TCS.BSE,04-08-25,22:45:27,3074.9,0
TCS.BSE,04-08-25,22:45:27,3074.9,0
